"Group","Y"
"A",93.2041355866767
"A",99.9697739894123
"A",76.2171722634264
"A",90.6089181604846
"B",94.9947158689097
"B",76.4507062962981
"B",99.1635270585373
"B",93.3910507762549
"C",96.1568583861612
"C",103.877907353428
"C",81.4253735849949
"C",86.5398606754162
"D",82.863897645479
"D",86.7219992770648
"D",104.60813563522
"D",97.8059674422363
"E",102.646487985589
"E",95.8917683505709
"E",79.6168157996274
"E",97.844927864213
"F",103.959226513021
"F",92.054451368933
"F",82.1703854147245
"F",101.815936703321
"G",86.9230954840843
"G",93.4855808303642
"G",93.3071958960718
"G",110.28412778948
"H",98.0967997650696
"H",101.255359092543
"H",105.864417680294
"H",82.7834234620937
"I",84.5597033061792
"I",97.8881317583269
"I",101.06695028763
"I",108.485214647864
"J",96.7285266613481
"J",113.3064770952
"J",90.0038688827758
"J",95.9611273606764
"K",110.825878826
"K",99.0604804763229
"K",103.213032722916
"K",86.9006079747618
"L",110.280236919564
"L",95.3174402511083
"L",108.558353218427
"L",89.8439696109001
"M",103.84557350607
"M",99.9407616370772
"M",114.19671599823
"M",90.0169488586222
"N",103.338369482135
"N",89.0850662047118
"N",112.443331524452
"N",107.133232788701
"O",90.2478573579484
"O",107.806165720453
"O",113.817080057715
"O",104.128896863883
"P",96.5006379421743
"P",105.716614520461
"P",98.9676212369062
"P",118.815126300459
"Q",97.1227394709454
"Q",120.228025750305
"Q",104.814950325581
"Q",101.834284453169
"R",109.498257751304
"R",119.904768752541
"R",97.2249584853789
"R",101.372015010776
"S",109.861434536303
"S",95.6280952468599
"S",106.613095311758
"S",119.89737490508
"T",95.3328987246139
"T",118.489854030809
"T",113.774542080761
"T",108.402705163817
"U",108.566893721221
"U",100.35677642245
"U",124.012004196288
"U",107.064325660041
