"X","Y"
1.38638867291156,1
1.22387907044031,1
1.45450493029784,5
1.11206777517218,5
1.22271489407867,1
1.54509899106342,4
1.36025613574311,6
1.53307125505526,2
1.50165739050135,5
1.42675527234096,4
1.00422299471684,1
1.42109429901466,4
1.6324023472378,4
1.55639270495158,4
1.44580664590467,4
1.28798702964559,6
1.32970039430074,1
1.33630559258163,1
1.39816765729338,6
1.43047303154599,2
1.20794960607309,1
1.6366503471043,7
1.24822484925389,1
1.06748108509928,3
1.07899887722451,1
1.3320915381657,1
1.19246188413817,7
1.55760046092328,5
1.78696434793528,7
1.01727863599081,1
1.62674841701519,4
1.83043907210231,6
1.70683702279348,7
1.76737992765848,7
1.5039922934724,6
1.11608438820112,1
1.02219911238644,1
1.23191065636929,6
1.57152685578912,7
0.958796428516507,1
1.34839162430726,6
1.81767488657497,7
1.27000478585251,3
1.35370989136863,3
1.20955411859322,1
1.25252419561148,4
1.33397281714715,2
1.45992040019482,5
1.29967741081491,2
1.83178666629829,6
1.4419795246562,2
1.10548967935611,2
1.43809663462453,6
1.17557185848709,4
1.73593916578684,6
1.22312304980587,1
1.58407725375146,6
1.58359559501987,4
1.6898025427945,7
1.67415901322383,6
1.78818026599474,7
1.18856234198902,2
1.03232376808301,1
1.20644604708068,5
1.01014961611945,1
1.28957948060706,4
1.27761413068511,1
1.34233788338024,3
1.37381955627352,5
1.35339438773226,6
1.59355276834685,4
0.976120697520673,1
1.52849775340874,1
1.37528670427855,3
1.77067268958781,7
0.967233831202611,1
1.38771008560434,5
1.32666506806854,3
1.51304135569371,7
1.64781791691203,7
1.8008061159635,7
1.51322462013923,3
1.53560561672784,6
1.75198582424782,7
1.663386640721,7
1.40342423690017,5
1.12350382362492,1
1.83186215036549,7
1.73874401545618,7
1.49001056002453,7
1.53480359474197,7
1.7511210381519,5
1.7215581815457,6
1.13664406407624,2
1.43663036839571,3
1.05240612453781,3
1.5567785685882,5
1.65796778704971,7
1.48939821086824,5
0.968933834135532,4
1.70314334416762,7
1.38525843005627,7
1.30891638705507,3
1.59256945145316,4
1.27844334859401,2
1.36464148629457,7
0.997869700705633,2
1.44225362776779,5
1.56132277254947,5
1.74614797348622,7
1.39737101879437,4
1.39696896069217,4
0.966971211298369,1
1.43284994692076,3
1.23519285689108,4
1.27635021721944,5
1.42576597076841,7
1.61725060320459,2
1.13759587150998,4
1.50031519969925,5
1.24745581634343,1
0.971465900004841,1
1.44996909545735,2
0.95816343263723,1
1.29946887744591,2
1.6471925299149,7
1.69862432552036,1
1.75917866833042,3
1.34094852299895,4
1.32468048715964,1
1.63274148888886,6
1.61931058499031,7
1.44420688948594,5
1.01973089566454,2
1.4041596944211,6
1.4096239071805,1
1.75106521425769,7
1.13529459044803,1
1.82289260181133,6
1.57610932271928,7
1.55880713206716,5
1.08732617229689,1
1.63717002468184,5
1.07508491128683,3
1.0845047759125,4
1.13713770809118,1
0.995625769463368,2
1.32633375721052,3
1.05789308683015,3
1.31686176133808,4
1.1919955114834,1
1.21123152140062,1
0.961734422831796,1
1.13633412518539,1
1.69559817202389,7
1.69384625556413,7
1.50677534306888,4
1.00250411950983,2
1.24887393608224,3
1.75435880599543,7
1.36964858714491,3
1.27490160265006,4
1.08611267576925,1
1.82692269796971,7
1.80954887745902,7
1.0561489605112,3
1.30843208613805,3
1.37590368904639,3
1.65352061828598,7
1.79547394081019,7
1.48906343283597,7
1.84063946143724,7
1.11991455270909,1
1.55923845055513,7
1.22080774037167,3
1.08368692009244,1
1.23313369757961,1
1.24038082726765,2
1.0259075071197,1
1.82606123047881,7
1.69082132331096,7
1.58016455285251,6
1.80585615122691,7
1.42772165611386,5
1.67960663149133,5
1.20307509456761,2
1.05079011791386,1
1.09519075467251,5
1.4801431321539,3
1.37685780276079,1
1.50953699240927,6
1.64648421844468,4
1.83430386770051,7
1.25909190499224,1
1.77329719820991,6
1.05108765619807,1
1.40509989396669,4
1.17659807060845,1
1.60530796970706,4
1.67472841413692,7
